id,account_id,occurred_at,channel
1,1001,2015-10-06T17:13:58,direct
2,1001,2015-11-05T03:08:26,direct
3,1001,2015-12-04T03:57:24,direct
4,1001,2016-01-02T00:55:03,direct
5,1001,2016-02-01T19:02:33,direct
6,1001,2016-03-02T15:15:22,direct
7,1001,2016-04-01T10:58:55,direct
8,1001,2016-05-01T15:26:44,direct
9,1001,2016-05-31T20:53:47,direct
10,1001,2016-06-30T12:09:45,direct
11,1001,2016-07-30T03:06:26,direct
12,1001,2016-08-28T06:42:42,direct
13,1001,2016-09-26T23:14:59,direct
14,1001,2016-10-26T20:21:09,direct
15,1001,2016-11-25T22:52:29,direct
16,1001,2016-12-24T05:35:14,direct
17,1011,2016-12-21T10:29:36,direct
18,1021,2015-10-12T02:10:54,direct
19,1021,2015-11-11T07:10:19,direct
20,1021,2015-12-11T16:28:27,direct
21,1021,2016-01-10T09:04:12,direct
22,1021,2016-02-09T00:46:47,direct
23,1021,2016-03-10T00:11:03,direct
24,1031,2016-12-25T03:51:33,direct
25,1041,2016-10-14T23:40:23,direct
26,1041,2016-11-13T09:43:28,direct
27,1041,2016-12-12T07:31:09,direct
28,1051,2016-08-02T19:48:31,direct
29,1051,2016-09-01T05:27:20,direct
30,1051,2016-10-01T00:17:52,direct
31,1051,2016-10-31T06:44:01,direct
32,1051,2016-11-30T07:18:22,direct
33,1051,2016-12-30T08:42:44,direct
34,1061,2016-10-19T15:42:16,direct
35,1061,2016-11-17T08:33:51,direct
36,1061,2016-12-16T21:18:17,direct
37,1071,2016-12-13T08:45:32,direct
38,1081,2015-02-12T22:34:21,direct
39,1081,2015-03-13T09:24:50,direct
40,1081,2015-04-12T04:19:43,direct
41,1081,2015-05-12T22:51:04,direct
42,1081,2015-06-11T13:41:31,direct
43,1081,2015-07-11T23:08:50,direct
44,1081,2015-08-09T18:23:43,direct
45,1081,2015-09-07T15:09:39,direct
46,1081,2015-10-07T06:12:38,direct
47,1081,2015-11-06T04:00:27,direct
48,1081,2015-12-05T21:37:52,direct
49,1081,2016-01-03T23:17:07,direct
50,1081,2016-02-01T19:35:04,direct
51,1081,2016-03-02T05:45:34,direct
52,1081,2016-04-01T08:17:57,direct
53,1081,2016-04-30T07:21:17,direct
54,1081,2016-05-30T04:01:01,direct
55,1081,2016-06-28T06:01:33,direct
56,1081,2016-07-28T22:20:49,direct
57,1081,2016-08-26T16:32:33,direct
58,1081,2016-09-24T09:33:56,direct
59,1081,2016-10-24T21:38:12,direct
60,1081,2016-11-23T04:22:51,direct
61,1081,2016-12-23T13:01:50,direct
62,1091,2014-08-15T05:21:56,direct
63,1091,2014-09-13T04:50:00,direct
64,1091,2014-10-13T12:10:21,direct
65,1091,2014-11-12T06:24:29,direct
66,1091,2014-12-11T10:20:16,direct
67,1091,2015-01-09T14:02:52,direct
68,1091,2015-02-08T09:32:27,direct
69,1091,2015-03-09T06:10:05,direct
70,1091,2015-04-07T13:16:25,direct
71,1091,2015-05-06T03:31:37,direct
72,1091,2015-06-05T18:54:09,direct
73,1091,2015-07-05T02:21:31,direct
74,1091,2015-08-03T11:32:26,direct
75,1091,2015-09-01T14:20:35,direct
76,1091,2015-10-01T15:25:43,direct
77,1091,2015-10-31T15:42:27,direct
78,1091,2015-11-29T21:06:26,direct
79,1091,2015-12-28T18:21:01,direct
80,1091,2016-01-26T06:20:09,direct
81,1091,2016-02-25T06:34:38,direct
82,1091,2016-03-25T22:13:55,direct
83,1091,2016-04-24T07:07:19,direct
84,1091,2016-05-23T07:18:02,direct
85,1091,2016-06-22T00:59:21,direct
86,1091,2016-07-21T18:39:18,direct
87,1091,2016-08-20T04:28:31,direct
88,1091,2016-09-18T20:49:42,direct
89,1091,2016-10-17T13:05:15,direct
90,1091,2016-11-15T18:04:09,direct
91,1091,2016-12-14T20:56:25,direct
92,1101,2015-06-24T12:50:27,direct
93,1101,2015-07-24T17:44:12,direct
94,1101,2015-08-22T19:17:13,direct
95,1101,2015-09-21T05:09:36,direct
96,1101,2015-10-21T16:16:43,direct
97,1101,2015-11-20T23:46:18,direct
98,1101,2015-12-19T18:29:44,direct
99,1101,2016-01-17T14:28:00,direct
100,1101,2016-02-15T07:42:32,direct
101,1101,2016-03-15T11:12:11,direct
102,1101,2016-04-13T23:47:47,direct
103,1101,2016-05-13T01:59:50,direct
104,1101,2016-06-12T12:25:51,direct
105,1111,2015-11-15T17:29:17,direct
106,1111,2015-12-15T21:57:08,direct
107,1121,2015-08-26T00:31:17,direct
108,1121,2015-09-25T13:51:50,direct
109,1121,2015-10-24T15:26:00,direct
110,1121,2015-11-22T17:24:28,direct
111,1121,2015-12-21T00:53:55,direct
112,1121,2016-01-20T15:14:22,direct
113,1121,2016-02-19T17:45:15,direct
114,1121,2016-03-19T07:15:57,direct
115,1121,2016-04-18T15:19:59,direct
116,1121,2016-05-17T13:08:34,direct
117,1121,2016-06-16T21:54:08,direct
118,1121,2016-07-15T03:22:59,direct
119,1121,2016-08-13T20:27:33,direct
120,1121,2016-09-11T22:54:21,direct
121,1121,2016-10-10T10:32:06,direct
122,1121,2016-11-08T02:28:45,direct
123,1121,2016-12-07T18:30:17,direct
124,1131,2016-05-13T06:37:09,direct
125,1131,2016-06-12T12:22:12,direct
126,1131,2016-07-11T23:51:17,direct
127,1131,2016-08-10T23:45:07,direct
128,1131,2016-09-09T16:42:29,direct
129,1131,2016-10-09T14:54:48,direct
130,1131,2016-11-07T04:55:33,direct
131,1131,2016-12-07T06:14:50,direct
132,1141,2016-09-24T03:05:59,direct
133,1141,2016-10-23T20:17:13,direct
134,1141,2016-11-22T20:35:48,direct
135,1141,2016-12-21T15:46:23,direct
136,1151,2016-12-30T04:31:50,direct
137,1161,2016-03-06T02:51:21,direct
138,1161,2016-04-05T21:34:46,direct
139,1161,2016-05-05T09:51:29,direct
140,1161,2016-06-04T08:56:13,direct
141,1161,2016-07-03T10:12:24,direct
142,1161,2016-08-01T17:32:47,direct
143,1161,2016-08-31T03:03:42,direct
144,1161,2016-09-29T07:40:17,direct
145,1161,2016-10-28T07:06:27,direct
146,1161,2016-11-26T12:47:01,direct
147,1161,2016-12-25T20:19:48,direct
148,1171,2016-08-24T20:21:20,direct
149,1171,2016-09-23T03:16:51,direct
150,1171,2016-10-22T17:44:31,direct
151,1171,2016-11-20T03:42:30,direct
152,1171,2016-12-20T18:00:34,direct
153,1181,2013-12-17T22:46:54,direct
154,1181,2014-01-16T12:14:22,direct
155,1181,2014-02-14T08:25:20,direct
156,1181,2014-03-16T04:28:46,direct
157,1181,2014-04-14T13:42:38,direct
158,1181,2014-05-14T05:23:01,direct
159,1181,2014-06-13T09:21:27,direct
160,1181,2014-07-13T15:16:23,direct
161,1181,2014-08-12T04:49:42,direct
162,1181,2014-09-10T19:05:00,direct
163,1181,2014-10-10T14:06:31,direct
164,1181,2014-11-09T21:36:20,direct
165,1181,2014-12-09T12:34:35,direct
166,1181,2015-01-08T06:56:59,direct
167,1181,2015-02-06T13:17:17,direct
168,1181,2015-03-08T06:03:51,direct
169,1181,2015-04-06T03:07:49,direct
170,1181,2015-05-06T13:25:32,direct
171,1181,2015-06-05T17:13:06,direct
172,1181,2015-07-04T20:45:36,direct
173,1181,2015-08-03T17:39:43,direct
174,1181,2015-09-01T08:50:27,direct
175,1181,2015-10-01T22:38:33,direct
176,1181,2015-10-31T08:42:52,direct
177,1181,2015-11-29T05:41:02,direct
178,1181,2015-12-28T11:09:56,direct
179,1181,2016-01-26T19:33:46,direct
180,1181,2016-02-25T17:02:56,direct
181,1181,2016-03-25T19:13:15,direct
182,1181,2016-04-24T16:35:36,direct
183,1181,2016-05-23T02:37:37,direct
184,1181,2016-06-22T05:21:09,direct
185,1181,2016-07-21T14:39:32,direct
186,1181,2016-08-19T22:21:09,direct
187,1181,2016-09-18T08:58:13,direct
188,1181,2016-10-18T09:36:08,direct
189,1181,2016-11-17T08:54:11,direct
190,1181,2016-12-17T21:55:03,direct
191,1191,2016-01-24T19:27:29,direct
192,1191,2016-02-23T10:10:54,direct
193,1191,2016-03-23T21:14:33,direct
194,1191,2016-04-22T02:48:25,direct
195,1191,2016-05-21T23:08:54,direct
196,1191,2016-06-20T21:11:15,direct
197,1191,2016-07-19T07:10:19,direct
198,1191,2016-08-18T16:02:29,direct
199,1191,2016-09-17T05:08:25,direct
200,1191,2016-10-16T19:03:26,direct
201,1191,2016-11-15T20:16:21,direct
202,1191,2016-12-15T20:19:47,direct
203,1201,2016-11-12T11:28:50,direct
204,1201,2016-12-11T05:36:36,direct
205,1211,2016-11-22T07:40:48,direct
206,1211,2016-12-21T23:18:36,direct
207,1221,2015-01-20T10:27:15,direct
208,1221,2015-02-18T15:26:53,direct
209,1221,2015-03-19T12:12:00,direct
210,1221,2015-04-17T11:27:17,direct
211,1221,2015-05-16T19:33:22,direct
212,1221,2015-06-15T08:11:12,direct
213,1221,2015-07-15T07:12:07,direct
214,1221,2015-08-14T09:40:52,direct
215,1221,2015-09-12T17:31:15,direct
216,1221,2015-10-11T13:06:10,direct
217,1221,2015-11-09T23:23:27,direct
218,1221,2015-12-08T16:32:01,direct
219,1221,2016-01-06T20:37:28,direct
220,1221,2016-02-04T20:02:52,direct
221,1221,2016-03-04T19:36:45,direct
222,1221,2016-04-03T19:06:52,direct
223,1221,2016-05-03T07:10:37,direct
224,1221,2016-06-01T21:28:50,direct
225,1221,2016-06-30T14:59:10,direct
226,1221,2016-07-29T22:44:37,direct
227,1221,2016-08-27T07:44:44,direct
228,1221,2016-09-26T18:06:43,direct
229,1221,2016-10-26T08:20:10,direct
230,1221,2016-11-25T07:58:21,direct
231,1221,2016-12-24T20:56:51,direct
232,1231,2016-02-26T03:06:10,direct
233,1231,2016-03-27T11:28:17,direct
234,1231,2016-04-26T16:58:23,direct
235,1231,2016-05-26T17:12:43,direct
236,1231,2016-06-25T12:21:04,direct
237,1231,2016-07-24T06:09:57,direct
238,1231,2016-08-23T15:21:38,direct
239,1231,2016-09-22T23:40:05,direct
240,1231,2016-10-21T22:50:17,direct
241,1231,2016-11-20T15:03:48,direct
242,1231,2016-12-20T13:52:13,direct
243,1241,2016-06-14T10:54:31,direct
244,1241,2016-07-13T12:55:39,direct
245,1241,2016-08-11T02:35:12,direct
246,1241,2016-09-09T17:48:36,direct
247,1241,2016-10-08T11:00:10,direct
248,1241,2016-11-07T06:21:19,direct
249,1241,2016-12-06T15:00:10,direct
250,1251,2013-12-11T20:17:01,direct
251,1251,2014-01-09T04:25:01,direct
252,1251,2014-02-07T20:47:16,direct
253,1251,2014-03-08T06:14:06,direct
254,1251,2014-04-07T10:30:19,direct
255,1251,2014-05-07T21:06:09,direct
256,1251,2014-06-06T15:42:18,direct
257,1251,2014-07-05T04:03:05,direct
258,1251,2014-08-04T19:28:13,direct
259,1251,2014-09-03T12:21:39,direct
260,1251,2014-10-02T23:05:36,direct
261,1251,2014-11-01T02:08:04,direct
262,1251,2014-12-01T09:11:22,direct
263,1251,2014-12-30T01:59:42,direct
264,1251,2015-01-28T10:03:50,direct
265,1261,2014-11-12T22:02:36,direct
266,1261,2014-12-11T02:24:13,direct
267,1261,2015-01-09T06:17:55,direct
268,1261,2015-02-07T17:56:41,direct
269,1261,2015-03-08T16:04:32,direct
270,1261,2015-04-07T12:41:00,direct
271,1261,2015-05-06T17:13:50,direct
272,1261,2015-06-04T01:24:01,direct
273,1261,2015-07-03T18:09:58,direct
274,1261,2015-08-02T23:16:24,direct
275,1261,2015-08-31T20:27:29,direct
276,1261,2015-09-29T11:37:17,direct
277,1261,2015-10-29T03:42:33,direct
278,1261,2015-11-27T01:30:24,direct
279,1261,2015-12-27T18:48:51,direct
280,1261,2016-01-26T03:17:09,direct
281,1261,2016-02-25T12:57:57,direct
282,1261,2016-03-26T09:05:06,direct
283,1261,2016-04-24T02:03:26,direct
284,1261,2016-05-23T17:58:17,direct
285,1261,2016-06-22T01:51:08,direct
286,1261,2016-07-21T09:21:22,direct
287,1261,2016-08-19T11:48:13,direct
288,1261,2016-09-18T03:56:55,direct
289,1261,2016-10-17T08:11:29,direct
290,1261,2016-11-15T18:50:54,direct
291,1261,2016-12-15T04:58:31,direct
292,1271,2015-10-28T11:49:13,direct
293,1271,2015-11-26T05:58:50,direct
294,1281,2013-12-05T20:17:50,direct
295,1281,2014-01-03T23:30:04,direct
296,1281,2014-02-02T03:37:48,direct
297,1281,2014-03-03T07:22:51,direct
298,1281,2014-04-01T11:31:59,direct
299,1281,2014-05-01T21:35:29,direct
300,1281,2014-05-30T22:51:30,direct
301,1281,2014-06-29T21:35:09,direct
302,1281,2014-07-28T16:18:04,direct
303,1281,2014-08-26T21:18:15,direct
304,1281,2014-09-25T04:23:10,direct
305,1281,2014-10-25T07:31:59,direct
306,1281,2014-11-24T16:19:54,direct
307,1281,2014-12-24T08:00:47,direct
308,1281,2015-01-23T07:12:33,direct
309,1281,2015-02-22T03:03:30,direct
310,1281,2015-03-24T15:41:00,direct
311,1281,2015-04-23T16:00:17,direct
312,1281,2015-05-22T01:50:00,direct
313,1281,2015-06-20T18:05:43,direct
314,1281,2015-07-20T00:49:18,direct
315,1281,2015-08-19T13:22:29,direct
316,1281,2015-09-18T07:38:41,direct
317,1281,2015-10-18T00:30:14,direct
318,1281,2015-11-16T17:20:19,direct
319,1281,2015-12-16T16:23:56,direct
320,1281,2016-01-15T06:57:05,direct
321,1281,2016-02-13T23:34:24,direct
322,1281,2016-03-14T21:18:54,direct
323,1281,2016-04-13T12:19:32,direct
324,1281,2016-05-13T09:12:03,direct
325,1281,2016-06-12T17:53:34,direct
326,1281,2016-07-12T19:18:28,direct
327,1281,2016-08-11T03:34:58,direct
328,1281,2016-09-10T14:41:17,direct
329,1281,2016-10-09T20:54:23,direct
330,1281,2016-11-08T15:23:03,direct
331,1281,2016-12-08T09:52:20,direct
332,1291,2015-05-06T01:25:32,direct
333,1291,2015-06-04T14:51:32,direct
334,1291,2015-07-04T19:07:16,direct
335,1291,2015-08-03T08:19:35,direct
336,1291,2015-09-01T16:25:01,direct
337,1291,2015-10-01T07:14:15,direct
338,1291,2015-10-30T02:30:46,direct
339,1291,2015-11-28T17:06:50,direct
340,1291,2015-12-27T05:22:54,direct
